RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-096288,2012/10/05 00:00:00+00,1217,"N 27,FAIRFIELD to OLD DAIRY RD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6188
B2-095318,2012/10/02 00:00:00+00,1600,6100 O ST at YONKERS,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,6189
B2-100209,2012/10/17 00:00:00+00,1435,"G,S 8 to S 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6190
B2-097666,2012/10/09 00:00:00+00,1550,"BIRCHHOLLOW,BEAVER CREEK LN to S 46",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,6191
B2-095932,2012/10/04 00:00:00+00,1258,"S 27,MANSE to SHERIDAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6192
B2-099064,2012/10/13 00:00:00+00,1948,"S 40,GERTIE to NEBR HWY",INJURY H&R,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,6193
B2-096577,2012/10/06 00:00:00+00,655,"NW 48,W CRAW to W KINGSLEY",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,6194
B2-098512,2012/10/12 00:00:00+00,1115,S 27 at OLD CHENEY,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,6195
B2-096297,2012/10/05 00:00:00+00,1252,"VAN DORN,S 70 to KATY",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,6196
B2-095328,2012/10/02 00:00:00+00,1645,"A,S 40 to S 44",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6197
B2-095947,2012/10/04 00:00:00+00,1345,"BEL RIDGE,OLD GLORY to SUPERIOR",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,6198
B2-099070,2012/10/13 00:00:00+00,2000,4928 BANCROFT at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,6199
B2-097672,2012/10/09 00:00:00+00,1757,S 48 at MEREDETH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6200
B2-096616,2012/10/06 00:00:00+00,1124,"SOUTHWOOD DR,GRASSRIDGE to NEBR HWY",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,6201
B2-098518,,9999,"ERIN,N 75 to DEAD END",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6202
B2-100210,2012/10/17 00:00:00+00,1440,"W O,W ROUNDHOUSE to SUN VALLEY",INJURY,SIDE SWIPE,2,2,NO,NO,NO,NO,NO,NO,NO,6203
B2-096301,,9999,"EAGLETON LN,N 88 to N 91",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6204
B2-095349,2012/10/02 00:00:00+00,1741,S 9 at K,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,6205
B2-097768,2012/10/10 00:00:00+00,230,"S 48,ANTELOPE CREEK to NORMAL",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,6206
B2-099076,2012/10/13 00:00:00+00,2035,1141 W BOND at MCDONALDS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,6207
B2-095954,2012/10/03 00:00:00+00,1930,"S 58,DEAD END to PIONEERS",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,6208
B2-100212,2012/10/17 00:00:00+00,1420,"R,N 14 to N 16",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,6209
B2-098536,2012/10/12 00:00:00+00,1234,"PINE LAKE,S 14 to S 16",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,6210
B2-096621,2012/10/06 00:00:00+00,1156,S 17 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6211
B2-096302,2012/10/05 00:00:00+00,1305,"S 17,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6212
B2-100220,2012/10/17 00:00:00+00,1513,"VAVRINA BLVD,S 14 to S 16",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,YES,NO,6213
B2-095967,2012/10/04 00:00:00+00,1455,"CORNHUSKER,N 40 to N 44",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,6214
B2-099078,2012/10/13 00:00:00+00,2052,S 27 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,6215
B2-097773,2012/10/10 00:00:00+00,300,"P,N 20 to N 21",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6216
B2-096628,2012/10/06 00:00:00+00,1222,"I 80,N 27 to CITY LIMITS WEST",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,6217
B2-098543,2012/10/12 00:00:00+00,1308,"PAWNEE,CONSTABLE to S 58",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6218
B2-096309,2012/10/05 00:00:00+00,1325,"O,29 to 30",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6219
B2-100221,2012/10/17 00:00:00+00,1520,"N 48,GLADSTONE to HARTLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6220
B2-098546,2012/10/12 00:00:00+00,1245,"N 48,VINE to W",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6221
B2-096651,2012/10/06 00:00:00+00,1355,"S 84,FOXTAIL DR to CHENEY RIDGE RD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,6222
B2-097785,2012/10/10 00:00:00+00,635,"S 10,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6223
B2-099079,2012/10/13 00:00:00+00,2047,"S 40,HIGH to PAWNEE",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,6224
B2-096319,2012/10/05 00:00:00+00,9999,"S 86,OLD CHENEY to T INTERSECTION",NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,6225
B2-100227,2012/10/17 00:00:00+00,1522,"N 27,KENSINGTON to TICONDEROGA",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6226
B2-098549,2012/10/12 00:00:00+00,1330,"CORNHUSKER,N 48 to SUPERIOR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,6227
B2-096664,2012/10/06 00:00:00+00,1453,N 48 at HUNTINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6228
B2-097787,2012/10/10 00:00:00+00,630,"W O,W ROUNDHOUSE to SUN VALLEY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,6229
B2-099082,2012/10/13 00:00:00+00,9999,8205 KARL RDGE R at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,6230
B2-096333,2012/10/05 00:00:00+00,1447,"N 27,Q to R",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6231
B2-098553,2012/10/12 00:00:00+00,1343,"PLUM,S 13 to S 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6232
B2-096692,2012/10/06 00:00:00+00,1636,"S 39,SMITH to VAN DORN",NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,6233
B2-100240,2012/10/17 00:00:00+00,1542,"S 70,L to O",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,6234
B2-099113,2012/10/13 00:00:00+00,2340,"W A,SW 8 to SW 9",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6235
B2-097790,2012/10/10 00:00:00+00,709,"VAN DORN,S 13 to S 14",INJURY,REAR END,4,2,NO,NO,NO,NO,NO,YES,NO,6236
B2-096336,2012/10/05 00:00:00+00,1451,S 21 at E,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6237
B2-098568,2012/10/12 00:00:00+00,1425,S 13 at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6238
B2-096700,2012/10/06 00:00:00+00,1645,6101 APPLES WAY at LOWES PRKG LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,6239
B2-100241,2012/10/17 00:00:00+00,1548,"SOUTH,S 37 to S 38",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6240
B2-097800,,9999,"VAN DORN,S 16 to S 17",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,6241
B2-099141,2012/10/14 00:00:00+00,118,"N 17,HILLTOP to PREAMBLE LN",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6242
B2-096341,2012/10/04 00:00:00+00,9999,"S 21,GARFIELD to SUMNER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6243
B2-098570,2012/10/12 00:00:00+00,1440,"S 14,L to M",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,6244
B2-096706,2012/10/06 00:00:00+00,1725,"S 40,STONECLIFFE to SWEETBRIAR",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,6245
B2-100243,2012/10/17 00:00:00+00,1600,O at COTNER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,6246
B2-096343,2012/10/05 00:00:00+00,1520,"VAN DORN,CEDAR to S 27",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,6247
B2-097810,2012/10/10 00:00:00+00,920,"R,N 14 to N 16",INJURY,TURNING,2,1,NO,NO,YES,NO,NO,NO,NO,6248
B2-099184,2012/10/14 00:00:00+00,100,"N 48,DUDLEY to HOLDREGE",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,6249
B2-098584,2012/10/12 00:00:00+00,1315,"N 80,HOLDREGE to LEO",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,6250
B2-096718,2012/10/06 00:00:00+00,1813,"S 48,F to RANDOLPH",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,6251
B2-097840,2012/10/10 00:00:00+00,952,S 13 at VAN DORN,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,6252
B2-096347,2012/10/05 00:00:00+00,1527,233 N 48 at SUPER SAVER,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,6253
B2-099190,2012/10/14 00:00:00+00,420,"W O,W 44 to W 48",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,6254
B2-100245,2012/10/17 00:00:00+00,9999,"W SUMNER,W PEACH to SW 26",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6255
B2-098589,2012/10/08 00:00:00+00,1300,5330 S 56 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,6256
B2-096746,2012/10/06 00:00:00+00,2045,"N 48,JUDSON to SHERWOOD",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,6257
B2-097849,2012/09/21 00:00:00+00,1600,2200 PARK BLVD at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,6258
B2-096353,2012/10/05 00:00:00+00,1524,"PINE LAKE,S 20 to RIDGE RD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6259
B2-099204,2012/10/14 00:00:00+00,819,"S CODDINGTON,W PEACH to W SOUTH",NON-INJ H&R,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,6260
B2-100248,2012/10/17 00:00:00+00,1606,5757 S 85 at ROCS STOP & SHOP,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,6261
B2-098594,2012/10/12 00:00:00+00,1535,"SOUTH,S 20 to WORTHINGTON",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,6262
B2-096354,2012/10/05 00:00:00+00,1523,O at CENTENNIAL MALL,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6263
B2-096806,2012/10/06 00:00:00+00,2230,"FAIR,GRIFFITH to N 33",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6264
B2-099206,2012/10/14 00:00:00+00,9999,"S 2,D to E",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6265
B2-100272,2012/10/17 00:00:00+00,1714,"W O,HOMESTEAD EXP to W 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6266
B2-097861,2012/10/10 00:00:00+00,1220,"N 64,BALLARD to HAVELOCK",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,6267
B2-096852,2012/10/07 00:00:00+00,235,"NW 48,W CUMING to W SUPERIOR",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,6268
B2-096362,2012/10/05 00:00:00+00,1621,"N 56,HILLS DALE to X",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6269
B2-098609,2012/10/12 00:00:00+00,1610,"S 50,LOCUST to PIONEERS",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6270
B2-097863,2012/10/10 00:00:00+00,1230,N 26 at KENSINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6271
B2-099211,2012/10/14 00:00:00+00,817,"W ARLINGTON,S CODDINGTON to SW 17",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6272
B2-097865,2012/10/10 00:00:00+00,1239,S 9 at SOUTH,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,6273
B2-099225,2012/10/14 00:00:00+00,1112,N 48 at R,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6274
B2-096401,2012/10/05 00:00:00+00,1820,"P,N 28 to N 29",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6275
B2-096895,2012/10/07 00:00:00+00,328,"NW 46,W LEIGHTON to RAMSEY RD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6276
B2-098611,2012/10/12 00:00:00+00,1620,"FLETCHER,N 14 to ROCKFORD DR",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,6277
B2-097908,2012/10/10 00:00:00+00,1441,"S 9,N to O",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,YES,NO,6278
B2-099226,2012/10/12 00:00:00+00,9999,"COLONIAL,MAYFLOWER to PURITAN",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6279
B2-096413,2012/10/05 00:00:00+00,1915,N 48 at VINE,INJURY,TURNING,3,1,NO,NO,NO,NO,NO,NO,NO,6280
B2-098615,2012/10/12 00:00:00+00,1637,S 27 at PICCADILLY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,6281
B2-096897,2012/10/07 00:00:00+00,815,S 14 at NEBR HWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,6282
B2-096426,2012/10/05 00:00:00+00,2012,"S 26,B to C",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6283
B2-097911,2012/10/10 00:00:00+00,9999,1111 Q at PARKING GARAGE,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,6284
B2-099255,2012/10/14 00:00:00+00,1402,"S 27,M to N",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6285
B2-098622,2012/10/12 00:00:00+00,1653,"S 40,FRANKLIN to SOUTH",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,6286
B2-096906,2012/10/07 00:00:00+00,850,NW 12 at W CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,6287
B2-099259,2012/10/14 00:00:00+00,1435,"ADAMS,N 44 to N 45",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6288
B2-096468,2012/10/05 00:00:00+00,2200,"S 10,N to O",NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,6289
B2-096932,2012/10/07 00:00:00+00,1149,S 84 at OLD CHENEY,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,6290
B2-099266,2012/10/14 00:00:00+00,1456,N 27 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6291
B2-096496,2012/10/05 00:00:00+00,2325,"S 37,H to RANDOLPH",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,YES,NO,6292
B2-096953,2012/10/07 00:00:00+00,9999,"NW 3,DAWES to ALEXANDER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6293
B2-099270,2012/10/13 00:00:00+00,230,"N 32,DUDLEY to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6294
B2-096502,2012/10/05 00:00:00+00,2330,"S 40,G to RANDOLPH",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6295
B2-096975,2012/10/07 00:00:00+00,9999,"E AVON,CARLOS to N 78",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6296
B2-096540,2012/10/06 00:00:00+00,202,"ADAMS,CORNHUSKER to N 36",NON-INJ H&R,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,6297
B2-096976,2012/10/07 00:00:00+00,1445,"CORNHUSKER,N 20 to N 23",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6298
B2-099283,2012/10/14 00:00:00+00,9999,"S 28,M to N",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6299
B2-096570,2012/10/06 00:00:00+00,540,BEL RIDGE at OLD GLORY,INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,6300
B2-096980,2012/10/07 00:00:00+00,1400,"COLFAX,CHAPEL HILLS to DORAL",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6301
B2-099292,2012/10/14 00:00:00+00,1715,1600 KNOX at -,NON-INJ,,3,0,NO,NO,NO,NO,NO,YES,NO,6302
B2-097916,2012/10/10 00:00:00+00,1513,"O,40 to 42",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,YES,NO,6303
B2-098625,2012/10/12 00:00:00+00,1658,"N 70,CAROL to E ELDORA",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,6304
B2-097016,2012/10/08 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,YES,NO,6305
B2-099342,2012/10/14 00:00:00+00,2025,"NEBR HWY,S 84 to S 87",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,6306
B2-097919,2012/10/10 00:00:00+00,1520,"VINE,N 66 to N COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6307
B2-098626,2012/10/12 00:00:00+00,1640,"SUPERIOR,LEWIS to N 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6308
B2-097017,2012/10/07 00:00:00+00,1727,"CLEVELAND,LIDCO to N 70",INJURY,HEAD ON,2,1,NO,NO,NO,NO,NO,NO,NO,6309
B2-099374,2012/10/14 00:00:00+00,22,"S 5,D to E",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,6310
B2-097923,2012/10/10 00:00:00+00,1515,"O,40 to 42",NON-INJ,REAR END,1,0,NO,NO,NO,NO,NO,NO,NO,6311
B2-098629,2012/10/12 00:00:00+00,1700,S 10 at N,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,6312
B2-097021,2012/10/07 00:00:00+00,1728,S 17 at F,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,6313
B2-097927,2012/10/10 00:00:00+00,1536,"S 56,SAYLOR to SOUTH",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,6314
B2-099396,2012/10/15 00:00:00+00,1,"S 17-S 18,M to N",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,6315
B2-098636,2012/10/12 00:00:00+00,1718,"N 48,O to R",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6316
B2-097032,2012/10/07 00:00:00+00,1800,"S 9,GARFIELD to WASHINGTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6317
B2-098648,2012/10/12 00:00:00+00,1743,"S 27,NEBR HWY to PICCADILLY",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,6318
B2-099439,2012/10/15 00:00:00+00,643,"S 56,MARGO to SUNRISE",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6319
B2-097931,2012/10/10 00:00:00+00,638,NW 53 at W KNIGHT,INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,6320
B2-097053,2012/10/07 00:00:00+00,1842,S 10 & S 11 at E & F,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6321
B2-098668,2012/10/12 00:00:00+00,1650,N 20 at CORNHUSKER,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,6322
B2-099448,2012/10/15 00:00:00+00,749,L at FROST DR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,6323
B2-097933,2012/10/10 00:00:00+00,1552,"S 9,L to M",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6324
B2-097079,2012/10/07 00:00:00+00,2130,S 11 at A,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6325
B2-098670,2012/10/12 00:00:00+00,1902,N ANTELOPE VALL at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6326
B2-099461,2012/10/15 00:00:00+00,830,"OREILLY,KUCERA to S 27",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6327
B2-097962,2012/10/10 00:00:00+00,1656,"CORNHUSKER,N 35 to N 40",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,6328
B2-097137,2012/10/08 00:00:00+00,530,CORNHUSKER at HWY 77,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,6329
B2-098693,2012/10/12 00:00:00+00,2036,"O,19 to 20",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,6330
B2-099462,2012/10/15 00:00:00+00,848,"EAGLE RIDGE CR,BUFFALO CREEK to DEAD END",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,6331
B2-097978,2012/10/10 00:00:00+00,1736,S 33 at GRAINGER PKWY,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,6332
B2-097144,2012/10/08 00:00:00+00,740,"Q,N 30 to N 31",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,6333
B2-098745,2012/10/12 00:00:00+00,2320,"P,CENTENNIAL MALL to N 14",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,6334
B2-099465,2012/10/15 00:00:00+00,901,"SOUTH,S 13 to S 14",NON-INJ H&R,REAR END,2,1,NO,NO,YES,NO,NO,NO,NO,6335
B2-097983,2012/10/10 00:00:00+00,1748,"VINE,N 60 to N COTNER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,6336
B2-097149,2012/10/08 00:00:00+00,811,"L,S 47 to S 48",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,YES,6337
B2-099471,2012/10/15 00:00:00+00,910,"A,REGENCY to S 70",NON-INJ,TURNING,1,0,NO,NO,NO,NO,NO,NO,NO,6338
B2-098032,2012/10/10 00:00:00+00,1950,"N 70,MARCIA to VINE",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6339
B2-098758,2012/10/13 00:00:00+00,18,S 84 at NEBR HWY,INJURY,RIGHT ANGLE,2,3,NO,NO,NO,NO,NO,NO,NO,6340
B2-097154,2012/10/08 00:00:00+00,822,WEDGEWOOD at O,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,6341
B2-099482,2012/10/15 00:00:00+00,957,"N 27,CENTER to THERESA/OVERPASS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,6342
B2-098056,2012/10/10 00:00:00+00,2058,"N 70,MARCIA to VINE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,6343
B2-098771,2012/10/13 00:00:00+00,56,"HOLDREGE,N 23 to WHITTIER",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,6344
B2-097169,2012/10/08 00:00:00+00,1002,S 11 at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6345
B2-099483,2012/10/15 00:00:00+00,1000,S 18 at C,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,6346
B2-098067,2012/10/10 00:00:00+00,2145,S 11 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,6347
B2-098834,2012/10/13 00:00:00+00,314,2040 S 56 at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,6348
B2-097187,2012/10/08 00:00:00+00,1038,801 W O at RAIL YARD,INJURY,,1,1,NO,NO,NO,NO,NO,NO,NO,6349
B2-099488,2012/10/15 00:00:00+00,1015,"STATE FAIR PARK,N 27 ACCESS to SALT CREEK RDWY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,6350
B2-098089,2012/10/10 00:00:00+00,2300,"TROPP RIDGE DR,TREVOR CT to BRENNEN VIEW CT",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,6351
B2-097206,2012/10/08 00:00:00+00,1144,"N 27,FAIRFIELD to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6352
B2-098885,2012/10/13 00:00:00+00,942,"S 56,SAYLOR to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,6353
B2-099499,2012/10/14 00:00:00+00,1730,"NEBR HWY,PIONEERS to S 14",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,6354
B2-097225,2012/10/08 00:00:00+00,1255,"S 18,J to K",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6355
B2-099518,2012/10/15 00:00:00+00,1210,"CORNHUSKER,N 31 to STATE FAIR PARK",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,6356
B2-098891,2012/10/13 00:00:00+00,1,"PRESCOTT,S 54 to S 56",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,6357
B2-098117,2012/10/11 00:00:00+00,325,"S 40,CHAPIN to PRESCOTT",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,6358
